Slack,DRC,Chip Area,Wire Length,Utilization,Clock Period
5.169,0,62888.348,187162.8200,0.4,600
4.100,0,61451.800,184722.8680,.41,600
2.500,0,60032.835,187132.7520,.42,606
7.400,0,58699.178,184732.7600,.43,600
1.440,0,57450.291,185942.3640,.44,601
0.900,0,56247.914,185186.6600,.45,603
2.900,0,53983.605,186974.5840,.47,625
0.299,0,52918.355,187632.8320,.48,600
11.672,0,51896.464,187234.4040,.49,606
2.900,0,50916.999,188753.1120,.50,604
0.146,0,49979.027,187360.8520,.51,600
76.138,0,48192.289,184649.9920,.53,850
6.800,0,47342.279,186028.1280,.54,600
7.285,0,46530.651,189299.7880,.55,600
0.194,0,45758.214,186643.5680,.56,600
7.800,0,44990.982,184709.4640,.57,601
5.800,0,44291.723,188248.2520,.58,601
2.200,0,42877.797,186380.6240,0.6,581
2.200,0,42224.986,184996.4000,.61,580
1.700,0,41606.203,185128.0040,.62,586
4.020,0,40962.102,183900.2840,.63,600
2.100,0,40352.691,180345.2280,.64,599
0.700,0,39775.298,180028.0040,.65,584
0.900,0,39232.097,179143.0880,.66,637
2.100,0,38664.014,177897.3480,.67,588
23.256,0,36652.083,172620.5320,.71,686
